,KNN,Trustworthiness,Continuity
PCA,0.3232638888888889,0.974666399386164,0.9914833976988422
t-SNE,0.45243055555555556,0.997489166351506,0.9953589892312019
UMAP,0.4197916666666667,0.9954259942107406,0.9948835329755047
PHATE,0.44201388888888893,0.990954939901282,0.9950736233538915
T-PHATE,0.4833333333333334,0.9775789932070751,0.9852093757879017
BCNE m1,0.5010416666666667,0.9782862168111557,0.9837621397470957
BCNE m2,0.5045138888888889,0.9775980846715541,0.9840471268255077
BCNE m3,0.58125,0.9759340241413084,0.9812084290936949
BCNE m4,0.5913194444444445,0.9752998632687496,0.9779178970054887
