,KNN,Trustworthiness,Continuity
PCA,0.523263888888889,0.9920748997546596,0.998266982918291
t-SNE,0.5343749999999999,0.9994080191423751,0.9989281233635887
UMAP,0.5114583333333333,0.9984582945443261,0.9974979332732103
PHATE,0.521875,0.9938554333701829,0.9976973724084095
T-PHATE,0.6680555555555556,0.988774273433409,0.989947162099261
BCNE m1,0.6399305555555557,0.987158141570179,0.9888769218740909
BCNE m2,0.6625,0.9859599491379143,0.9872622536898044
BCNE m3,0.6621527777777778,0.9854210425515408,0.9873776388646458
BCNE m4,0.7038194444444444,0.9857563553363977,0.9857118237379027
