,KNN,Trustworthiness,Continuity
PCA,0.6191666666666665,0.9897014563106796,0.9967789503306599
t-SNE,0.7216666666666667,0.9993554594062192,0.9991065322921063
UMAP,0.6483333333333334,0.9548168882791614,0.9519336569579288
PHATE,0.6683333333333333,0.9913157274518081,0.9971308217250598
T-PHATE,0.7791666666666666,0.9919480969466723,0.9927942873223582
BCNE m1,0.8166666666666668,0.9926590157591108,0.9924077845785845
BCNE m2,0.8041666666666666,0.992124085408752,0.9914810574081891
BCNE m3,0.8025,0.9891071478823695,0.9897587413817364
BCNE m4,0.805,0.9904040910370058,0.9896226079921204
